regressor,beta,hac_se,t,p,label,n,r2,adj_r2,sample,first_common_date
const,0.0009083091089216258,0.0008277289131424719,1.097350949688626,0.27248800657693406,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
DGS10_d1,0.023594760260681,0.02590272235571099,0.9108988598443154,0.362348666481885,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
DGS2_d1,-0.010447401330207072,0.025997668876784574,-0.4018591582084655,0.6877876816987787,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
VIXCLS_d1,-0.0044555866695897475,0.0010315900476405104,-4.319144683278715,1.5663507278761446e-05,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
DTWEXBGS_d1,-0.004076099732116344,0.0031625542210425225,-1.2888631932364705,0.1974456519862634,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
DFF_d1,-0.35418032750530964,0.36567325608921836,-0.9685704973154924,0.3327595293215698,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
spy_ret,-0.24666396427558201,0.26612389387508445,-0.9268764284328536,0.3539906969735377,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
qqq_ret,0.5814542405130361,0.17902319436115355,3.247926854327243,0.0011624915092016085,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
gld_ret,0.2915892304918163,0.1334320924166301,2.185300591564991,0.028866814056897474,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
defi_tvl_usd_ret,0.0730768687746465,0.03706426740710155,1.9716258781536014,0.048652330785317464,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
stables_total_usd_ret,0.04120764218539022,0.19668353183827567,0.2095124172331493,0.8340482429322462,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
fng_value_d1,-0.00048163254664155566,0.0002014021518213111,-2.391397223346808,0.01678438251032955,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
cme_btc_basis_close_d1,6.0835831466984245e-06,4.183201799162182e-06,1.4542887096474415,0.14586627933973018,pre_etf,1339,0.14033980398169577,0.1325600737009871,pre_etf,2020-01-03
const,0.00018784209849903984,0.0009319584599404398,0.20155629952760404,0.8402636118999697,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
DGS10_d1,0.05938163033246316,0.0430231136752454,1.3802262379403307,0.167516997816749,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
DGS2_d1,-0.018227836832051918,0.04383563482114194,-0.4158223533530448,0.6775400005624488,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
VIXCLS_d1,-0.0023955776919393564,0.001167065177013881,-2.0526511621817187,0.04010642176471914,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
DTWEXBGS_d1,-0.0032039204340739394,0.0034050764583683857,-0.9409246674035524,0.3467434655216246,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
DFF_d1,-0.29473867525623826,0.4753540936409361,-0.6200402588283427,0.535231282147621,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
spy_ret,0.6104200990738446,0.5089989244929705,1.1992561667628334,0.23042835346786006,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
qqq_ret,0.1993221292779186,0.33382332452646335,0.5970886832448331,0.5504481730822197,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
gld_ret,0.173926241233188,0.1142758294781952,1.52198625052531,0.12801252587784215,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
defi_tvl_usd_ret,-0.032408849105579236,0.044695875636131116,-0.7250970843354654,0.46839247299929987,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
stables_total_usd_ret,-0.11606443731728866,0.2753393810477793,-0.42153228090953015,0.6733664442063739,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
fng_value_d1,-0.0001082078903581422,0.0001615702369315558,-0.6697266304312044,0.5030320722167105,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
cme_btc_basis_close_d1,2.5447160444501977e-06,2.4708434002311117e-06,1.0298977443136121,0.3030580097386031,post_etf,768,0.15199671657100544,0.13851851868869036,post_etf,2020-01-03
